category,study,variant,metric,value,unit,status,evidence_seal
reasoning,shader budget 2048,Control XHIGH,pass,50.0,percent,SEALED,603e43a37d6e75176d0033cb067749db5854a00f
reasoning,shader budget 2048,Control XHIGH,truncated,43.3,percent,SEALED,603e43a37d6e75176d0033cb067749db5854a00f
sampling,temperature,T=0.0,pass,100.0,percent,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
sampling,temperature,T=0.0,mean_unique,1.0,answers/prompt,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
sampling,temperature,T=0.2,pass,100.0,percent,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
sampling,temperature,T=0.2,mean_unique,1.08,answers/prompt,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
sampling,temperature,T=0.4,pass,100.0,percent,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
sampling,temperature,T=0.4,mean_unique,1.17,answers/prompt,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
sampling,temperature,T=0.6,pass,100.0,percent,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
sampling,temperature,T=0.6,mean_unique,1.25,answers/prompt,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
sampling,temperature,T=0.8,pass,97.2,percent,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
sampling,temperature,T=0.8,mean_unique,1.33,answers/prompt,SEALED,0bb7426c280a911dc5422a2a4dda8c70f9763c20
reasoning,easy-task latency,OFF,p50_latency,0.93,seconds,SEALED,5c158ebeef7577605589934f3e8b1243f35e8dbb
reasoning,easy-task latency,LOW,p50_latency,8.35,seconds,SEALED,5c158ebeef7577605589934f3e8b1243f35e8dbb
reasoning,easy-task latency,DEFAULT,p50_latency,8.51,seconds,SEALED,5c158ebeef7577605589934f3e8b1243f35e8dbb
reasoning,easy-task latency,XHIGH,p50_latency,8.49,seconds,SEALED,5c158ebeef7577605589934f3e8b1243f35e8dbb
context,long-context SGLang,ISL 32780,decode_tps,76.85,tok/s,SEALED,ceefc1dcd7ae5c4f0647a1a9b578bcd2cdbb4b39
context,long-context SGLang,ISL 131084,decode_tps,66.86,tok/s,SEALED,ceefc1dcd7ae5c4f0647a1a9b578bcd2cdbb4b39
context,long-context SGLang,ISL 240012,decode_tps,59.16,tok/s,SEALED,ceefc1dcd7ae5c4f0647a1a9b578bcd2cdbb4b39
context,long-context SGLang,ISL 256012,decode_tps,57.57,tok/s,SEALED,ceefc1dcd7ae5c4f0647a1a9b578bcd2cdbb4b39
context,long-context SGLang,ISL 261212,decode_tps,57.52,tok/s,SEALED,ceefc1dcd7ae5c4f0647a1a9b578bcd2cdbb4b39
serving,RTX5090 stack,SGLang NONE,true_decode_tps,71.8,tok/s,PASS,
serving,RTX5090 stack,DSPARK,true_decode_tps,81.74,tok/s,PASS,ca5dc168a9faaa1d364b28b85726090159c3994f
serving,RTX5090 stack,"Mia TQ4 KV + MTP3, patched #40914",true_decode_tps,151.27145710171598,tok/s,PASS,5e9aa4ebcf149bd4b9a303fbdc02c48386cc8320
supplemental,ProgramBench Q11A,OFF_ORIGINAL,tests_pass_pct,50.0,percent,NON_LEADERBOARD,9161bdd5ba2b70d452a010c1cb5547efdcbcf2f6
supplemental,ProgramBench Q11A,OFF_REPEAT,tests_pass_pct,48.01,percent,NON_LEADERBOARD,9161bdd5ba2b70d452a010c1cb5547efdcbcf2f6
supplemental,ProgramBench Q11A,LOW,tests_pass_pct,50.4,percent,NON_LEADERBOARD,9161bdd5ba2b70d452a010c1cb5547efdcbcf2f6
supplemental,ProgramBench Q11A,XHIGH,tests_pass_pct,0.0,percent,NON_LEADERBOARD,9161bdd5ba2b70d452a010c1cb5547efdcbcf2f6
supplemental,ProgramBench Q11A,MEDIUM,tests_pass_pct,61.35,percent,NON_LEADERBOARD,9161bdd5ba2b70d452a010c1cb5547efdcbcf2f6
